env,episode,return,epsilon
15,22,81.65766494750984,0.01
6,21,31.347410469055163,0.01
0,17,126.47348560333262,0.01
17,20,118.5248398208619,0.01
9,20,67.8088096618653,0.01
1,25,90.17709917068484,0.01
14,20,115.8646821594239,0.01
5,21,72.60861629486088,0.01
12,27,72.13144947052002,0.01
10,21,159.10663917541487,0.01
8,22,34.36896934509286,0.01
4,22,10.81563388824464,0.01
9,21,70.70988426208494,0.01
13,21,100.97990139007571,0.01
19,18,55.181972389221265,0.01
18,22,31.59226165771483,0.01
6,22,50.63845703125002,0.01
2,23,85.22323265075684,0.01
17,21,67.06277080535897,0.01
3,23,125.75709705352791,0.01
5,22,46.40530212402347,0.01
7,22,60.37451992034912,0.01
12,28,49.03808193206787,0.01
1,26,51.88117847442624,0.01
16,21,167.69769100189197,0.01
14,21,97.9989702224732,0.01
11,20,49.88568496704111,0.01
5,23,41.3237196159363,0.01
7,23,15.577033805847181,0.01
1,27,62.88374526977544,0.01
9,22,61.7696015167237,0.01
15,23,47.3351722717286,0.01
8,23,107.7498818969727,0.01
1,28,64.47908214569097,0.01
0,18,55.80102615356455,0.01
2,24,94.1371092605592,0.01
11,21,44.96601863861088,0.01
10,22,100.5611860656739,0.01
4,23,70.49459609985354,0.01
6,23,62.84592872619639,0.01
13,22,3.8291221618652265,0.01
19,19,65.73360290527346,0.01
17,22,67.91646362304691,0.01
18,23,95.87021820068367,0.01
8,24,36.21798973083497,0.01
3,24,33.92953720092776,0.01
12,29,25.283992004394563,0.01
9,23,94.34623710632337,0.01
16,22,37.18841972351084,0.01
14,22,48.871984863281405,0.01
1,29,114.50870185852058,0.01
7,24,38.21074131011964,0.01
8,25,51.57119104385379,0.01
5,24,85.66433334350594,0.01
4,24,65.53335395812987,0.01
8,26,32.2167498397827,0.01
3,25,44.638925018310594,0.01
11,22,49.274909477233905,0.01
19,20,74.04676689147952,0.01
2,25,71.63520782470697,0.01
0,19,86.59052410125744,0.01
15,24,127.67490663528446,0.01
7,25,81.09038143157959,0.01
10,23,60.3580445861817,0.01
17,23,85.44589092254643,0.01
12,30,37.844573402404805,0.01
1,30,87.27877300262458,0.01
17,24,54.18709907531738,0.01
4,25,74.5307509422303,0.01
14,23,111.80106956481941,0.01
5,25,53.40867214202879,0.01
11,23,61.55041095733645,0.01
13,23,122.187327194214,0.01
9,24,26.260084266662574,0.01
18,24,19.601675148010266,0.01
7,26,97.63271757125858,0.01
18,25,1.435775489807129,0.01
6,24,55.45147182464606,0.01
12,31,88.54716354370117,0.01
1,31,80.92394586563118,0.01
15,25,64.782798652649,0.01
13,24,28.423020038604733,0.01
11,24,40.585115165710434,0.01
16,23,88.40210800170905,0.01
8,27,121.28403266906747,0.01
17,25,80.87165151596072,0.01
9,25,38.41793926239014,0.01
18,26,55.34773376464843,0.01
15,26,14.172889900207526,0.01
14,24,38.44684059143068,0.01
10,24,106.46108699798582,0.01
5,26,38.40616283416747,0.01
2,26,29.04995471954348,0.01
4,26,57.362851181030344,0.01
16,24,41.74531763076783,0.01
3,26,64.846255645752,0.01
4,27,13.864832420349119,0.01
12,32,30.214518508911123,0.01
11,25,65.50844429016114,0.01
19,21,82.07819290161137,0.01
0,20,108.28731079101574,0.01
17,26,45.48842990875247,0.01
18,27,113.32868900299076,0.01
7,27,72.05381614685058,0.01
6,25,64.45401229858399,0.01
1,32,83.52662010192877,0.01
13,25,36.00516433715822,0.01
8,28,39.73384380340579,0.01
9,26,45.10723419189458,0.01
3,27,122.2757550621033,0.01
15,27,91.26329650878903,0.01
14,25,98.23892517089838,0.01
5,27,141.4166370391844,0.01
10,25,37.00168190002447,0.01
0,21,104.11738294601453,0.01
2,27,50.63820953369147,0.01
12,33,41.31160335540773,0.01
17,27,27.49289703369137,0.01
16,25,92.60629501342774,0.01
9,27,4.230525817871088,0.01
19,22,81.76701354980463,0.01
1,33,37.673953475952175,0.01
18,28,34.793794670105,0.01
15,28,27.831802883148196,0.01
4,28,92.91366653442392,0.01
9,28,24.81588012695313,0.01
11,26,112.75418853759767,0.01
10,26,20.515785064697265,0.01
5,28,27.018063774108874,0.01
7,28,24.416109161376916,0.01
11,27,40.014172019958494,0.01
8,29,16.815076675415042,0.01
16,26,37.72976345062259,0.01
15,29,69.36501369476315,0.01
2,28,92.66964094161989,0.01
6,26,155.22349411010708,0.01
17,28,63.994654159545846,0.01
10,27,126.3161001205445,0.01
6,27,15.39683334350585,0.01
13,26,113.50542984008801,0.01
7,29,83.18821315765392,0.01
19,23,61.50019969940188,0.01
5,29,114.5124222564698,0.01
9,29,54.90912563323976,0.01
18,29,49.520896568298355,0.01
3,28,112.62431716918942,0.01
1,34,43.69303855896003,0.01
14,26,-2.826511383056644,0.01
0,22,53.2451297760011,0.01
12,34,46.56791763305675,0.01
6,28,64.32962203979498,0.01
13,27,23.17902515411378,0.01
1,35,40.975150680542015,0.01
4,29,171.1363353729247,0.01
17,29,35.78597858428954,0.01
9,30,53.791262779235836,0.01
4,30,7.2451675796508805,0.01
18,30,79.30923130035407,0.01
16,27,7.951889190673832,0.01
19,24,66.61859516143801,0.01
3,29,20.240691337585446,0.01
11,28,78.91262130737316,0.01
8,30,78.50341033935561,0.01
13,28,66.51937400817873,0.01
6,29,31.435989341735834,0.01
19,25,39.55972946166993,0.01
1,36,73.22725746154794,0.01
3,30,43.56071784973146,0.01
15,30,106.8833181381227,0.01
2,29,30.9749454498291,0.01
17,30,95.50708427429198,0.01
12,35,68.87724460601812,0.01
3,31,44.95443023681639,0.01
10,28,27.78795328140259,0.01
16,28,81.33490997314456,0.01
14,27,78.89516250610369,0.01
6,30,59.06268161773683,0.01
7,30,71.8918685340883,0.01
9,31,55.98366210937505,0.01
5,30,99.08737060546876,0.01
0,23,76.868209037781,0.01
4,31,85.03758281707766,0.01
1,37,95.21676670074467,0.01
18,31,37.38992986679086,0.01
3,32,67.00079723358152,0.01
14,28,51.34211944580082,0.01
16,29,25.4457778930664,0.01
12,36,47.79167148590088,0.01
10,29,29.297698726654037,0.01
3,33,15.582693862915047,0.01
4,32,10.255040740966793,0.01
18,32,39.36245279312133,0.01
2,30,125.73427906036387,0.01
8,31,88.69529075622565,0.01
19,26,110.53681362152108,0.01
15,31,61.035871543884355,0.01
5,31,29.217295150756826,0.01
9,32,75.84648796081542,0.01
11,29,45.690760040283294,0.01
8,32,9.989474639892569,0.01
13,29,56.848891067504915,0.01
16,30,76.5244957733155,0.01
7,31,150.6214769363403,0.01
11,30,10.787552394866958,0.01
8,33,41.902511978149406,0.01
1,38,41.07974407196051,0.01
4,33,36.845351505279545,0.01
17,31,109.14669719696074,0.01
10,30,117.00904327392587,0.01
5,32,97.24028469085698,0.01
0,24,53.638668327331565,0.01
12,37,64.06619464874277,0.01
19,27,121.87359504699711,0.01
1,39,51.51220848083498,0.01
6,31,72.19931259155292,0.01
18,33,83.25846252441418,0.01
14,29,176.6421992111205,0.01
9,33,116.33373329162599,0.01
17,32,13.197238693237301,0.01
2,31,122.06627067565933,0.01
19,28,28.75283691406247,0.01
13,30,117.04421657562266,0.01
16,31,83.39725360870369,0.01
9,34,16.497658691406265,0.01
18,34,17.6395401763916,0.01
2,32,29.26688446044922,0.01
3,34,151.0023589706419,0.01
13,31,44.13854927062988,0.01
16,32,99.83010555267339,0.01
10,31,74.89786468505866,0.01
14,30,93.74039772033693,0.01
15,32,71.917483520508,0.01
5,33,103.94026744842535,0.01
0,25,51.87112623214722,0.01
19,29,131.90876071929935,0.01
7,32,129.22623062133766,0.01
11,31,15.411752128601062,0.01
2,33,102.0394827461243,0.01
14,31,21.08263883590699,0.01
8,34,56.54727058410659,0.01
4,34,128.8131156921385,0.01
0,26,51.688144187927264,0.01
13,32,111.74200183868417,0.01
10,32,83.26349308013921,0.01
16,33,91.58903446197516,0.01
12,38,52.782590866089016,0.01
6,32,41.47953540802007,0.01
1,40,22.24611396789547,0.01
19,30,52.51369548797607,0.01
11,32,75.66136249542242,0.01
14,32,65.20693714141849,0.01
4,35,57.63587162017822,0.01
17,33,121.38668071746848,0.01
18,35,55.62897010803222,0.01
9,35,81.81041336059577,0.01
3,35,171.68574680328362,0.01
8,35,31.647133083343515,0.01
15,33,14.672684497833268,0.01
5,34,146.05598583221416,0.01
13,33,134.48942775726323,0.01
0,27,74.38704357147226,0.01
17,34,63.39954975128174,0.01
11,33,112.88318557739264,0.01
12,39,122.34037567138678,0.01
9,36,40.735934982299824,0.01
16,34,132.9244276237488,0.01
3,36,108.16099620819101,0.01
6,33,40.364079666137734,0.01
0,28,57.24697086334229,0.01
16,35,42.92813774108885,0.01
15,34,77.30037929534915,0.01
13,34,48.09120853424074,0.01
7,33,145.87971115112268,0.01
2,34,143.44239311218246,0.01
14,33,68.40904033660894,0.01
10,33,11.752237701415996,0.01
12,40,109.94228965759288,0.01
18,36,46.074871864318915,0.01
5,35,151.36798439025878,0.01
1,41,84.95551567077652,0.01
19,31,91.49173011779801,0.01
17,35,98.16557044982915,0.01
4,36,113.34450187683117,0.01
11,34,77.28203746795657,0.01
6,34,111.91585010528571,0.01
14,34,79.20814561843879,0.01
12,41,40.72651897430422,0.01
1,42,20.171352539062507,0.01
13,35,76.87869010925294,0.01
13,36,1.5371632385253924,0.01
8,36,73.58264343261726,0.01
5,36,81.37614364624024,0.01
7,34,166.47000885009783,0.01
2,35,163.83991447448722,0.01
18,37,119.06998641967778,0.01
16,36,32.006147193908674,0.01
17,36,105.86991884231576,0.01
1,43,74.56651515960698,0.01
9,37,52.539836883545014,0.01
7,35,31.386726951599126,0.01
6,35,93.01934829711914,0.01
15,35,19.479643630981467,0.01
3,37,45.33788719177257,0.01
1,44,30.390117416381823,0.01
14,35,89.46987171173103,0.01
5,37,93.65006397247319,0.01
2,36,74.92928829193116,0.01
13,37,115.19271675109871,0.01
9,38,41.94427413940429,0.01
12,42,135.24929851531988,0.01
0,29,44.224129486084145,0.01
17,37,68.47932449340824,0.01
3,38,13.10081701278685,0.01
